"w1","w2","w3","w4","iportfolio","sdp","sharp","des"
0.08,0.01,0.05,0.86,0.000437089201877934,0.00569019215583335,0.0768144888446076,"Minimal risk portfolio"
0.38,0.07,0.25,0.3,0.00128093896713615,0.00971450374833661,0.13185840474409,"Maximum efficiency portfolio"
1,0,0,0,0.00210798122065728,0.0204095469281159,0.103284077205719,"Maximum rate of return portfolio"
1,0,0,0,0.00210798122065728,0.0204095469281159,0.103284077205719,"Max weight one portfolio"
0,1,0,0,0.00101408450704225,0.0191632704089466,0.0529181337737015,"Max weight two portfolio"
0,0,1,0,0.00137089201877934,0.019873384535096,0.068981305945063,"Max weight three portfolio"
0,0,0,1,0.000220657276995305,0.00605502641191333,0.0364420007419224,"Max weight four portfolio"
